sheet_name,scrip_name,target_price,hit_price,date,time
Sheet1,BAJFINANCE.NS,934.75,937.3,2025-09-05,16:56:26
Sheet2,BAJFINANCE.NS,934.75,937.3,2025-09-05,16:56:26
watchlist1,BAJFINANCE.NS,934.75,937.3,2025-09-05,17:07:12
watchlist2,ICICIBANK,1400.0,1401.6,2025-09-05,17:07:12
watchlist1,BAJFINANCE,934.75,937.3,2025-09-05,17:07:33
Intraday,M&M,3589.0,3607.9,2025-09-17,08:50:09
Intraday,TITAN,3545.0,3557.9,2025-09-17,08:50:09
Intraday,JINDALSTEL,1053.55,1053.85,2025-09-17,08:50:12
Intraday,KEI,4155.0,4156.3,2025-09-17,08:50:13
Intraday,LTF,240.99,241.08,2025-09-17,08:50:13
Intraday,MARUTI,15422.0,15570.0,2025-09-17,08:50:14
SwingRiskyBuy,E2E,2961.6,3032.5,2025-09-17,08:50:15
SwingRiskyBuy,GMDCLTD,539.15,547.0,2025-09-17,08:50:15
SwingRiskyBuy,SALSTEEL,26.6,34.86,2025-09-17,08:50:16
SwingRiskyBuy,STALLION,201.35,206.93,2025-09-17,08:50:16
SwingRiskyBuy,CCCL,24.83,25.9,2025-09-17,08:50:16
SwingRiskyBuy,FAZE3Q,537.5,538.3,2025-09-17,08:50:16
SwingRiskyBuy,KMEW,2310.0,2379.7,2025-09-17,08:50:17
SwingRiskyBuy,NAGREEKEXP,36.37,39.55,2025-09-17,08:50:17
Intraday,M&M,3589.0,3607.9,2025-09-17,08:58:56
Intraday,TITAN,3545.0,3557.9,2025-09-17,08:58:57
Intraday,JINDALSTEL,1053.55,1053.85,2025-09-17,08:59:00
Intraday,KEI,4155.0,4156.3,2025-09-17,08:59:00
Intraday,LTF,240.99,241.08,2025-09-17,08:59:00
Intraday,MARUTI,15422.0,15570.0,2025-09-17,08:59:01
SwingRiskyBuy,E2E,2961.6,3032.5,2025-09-17,08:59:02
SwingRiskyBuy,GMDCLTD,539.15,547.0,2025-09-17,08:59:03
SwingRiskyBuy,SALSTEEL,26.6,34.86,2025-09-17,08:59:03
SwingRiskyBuy,STALLION,201.35,206.93,2025-09-17,08:59:03
SwingRiskyBuy,CCCL,24.83,25.9,2025-09-17,08:59:03
SwingRiskyBuy,FAZE3Q,537.5,538.3,2025-09-17,08:59:03
SwingRiskyBuy,KMEW,2310.0,2379.7,2025-09-17,08:59:03
SwingRiskyBuy,NAGREEKEXP,36.37,39.55,2025-09-17,08:59:04
